rat_gene_id,rat_gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000066169,NA,0.421928484203916,-0.712655529087638,2.69030358546557,-0.264897810394997,0.791088185152165,NA
ENSRNOG00000070168,Or51f23c,0,NA,NA,NA,NA,NA
ENSRNOG00000070901,Irgq,754.63581983436,-0.00231403809274395,0.13631465952571,-0.0169757097350744,0.986455993803539,0.992510099571327
ENSRNOG00000018029,Doc2g,5.9886733008004,0.689019503067196,0.868906574620357,0.792973057394855,0.427793520316219,0.601580725494084
ENSRNOG00000031391,Ceacam16,0,NA,NA,NA,NA,NA
ENSRNOG00000055342,LOC120100214,0,NA,NA,NA,NA,NA
ENSRNOG00000068698,NA,108.918552606321,-0.65686782358647,0.276488067594159,-2.37575469097874,0.01751310145375,0.0543562637699314
ENSRNOG00000067904,LOC120100281,0,NA,NA,NA,NA,NA
ENSRNOG00000063979,LOC120100116,0,NA,NA,NA,NA,NA
ENSRNOG00000064851,NA,4.68612791512293,0.511844924949449,0.956897578023201,0.534900428953786,0.592718711689686,0.738740077238962
ENSRNOG00000063562,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000050129,AABR07000137.1,0,NA,NA,NA,NA,NA
ENSRNOG00000056886,Mir291b,0,NA,NA,NA,NA,NA
ENSRNOG00000032625,Zfp108,121.782257537809,0.111739897354699,0.199007045659727,0.561487142248007,0.574465493135262,0.724779690200052
ENSRNOG00000029315,AC099294.1,68.2747009952335,0.0765799752333996,0.250074678589393,0.306228426106024,0.759430730466745,0.854757017836236
ENSRNOG00000016356,Got1,1779.15088302188,-0.0801459175288938,0.134226816260833,-0.597093187200033,0.550445166193793,0.705685261694051
ENSRNOG00000028288,Clrn3,0.240242402321281,1.61398840393461,4.00506542244251,0.402986776418326,0.686957952493403,NA
ENSRNOG00000015810,Trip13,65.8082608940038,-0.467103871298365,0.300388918304554,-1.5549970149857,0.119946780245992,0.245218545373837
ENSRNOG00000017538,Lrrc27,79.744945545476,1.74788671628552,0.270395710882426,6.46418062838854,1.01849156445677e-10,2.01900250395456e-09
ENSRNOG00000027204,Map6,1717.99572493982,-0.0989757984051565,0.137492153871036,-0.719865065885819,0.471608078868325,0.639334544801638
ENSRNOG00000058651,LOC120100452,1.81036600413879,-0.303707835080882,1.31954490887177,-0.230161044947351,0.817966630903002,0.894102210096268
ENSRNOG00000070886,NA,724.157432001336,0.208759812471421,0.178735317445582,1.16798300109311,0.242813621790961,0.408666072127503
ENSRNOG00000056005,LOC120100212,0,NA,NA,NA,NA,NA
ENSRNOG00000035453,Mir3596c,0.630917618308665,0.241726809690782,2.20953850918394,0.109401492069971,0.912884050352632,NA
ENSRNOG00000063396,LOC120100238,0,NA,NA,NA,NA,NA
ENSRNOG00000068709,NA,0.507343863805944,-0.685395298423709,3.0572386878529,-0.224187696285194,0.822611256776627,NA
ENSRNOG00000069410,Or2ag2,0,NA,NA,NA,NA,NA
ENSRNOG00000014903,Zfyve27,218.378145492635,-0.10767730436393,0.163479164750218,-0.658660720027851,0.510113661975745,0.672288055428304
ENSRNOG00000055477,U1,0,NA,NA,NA,NA,NA
ENSRNOG00000066157,NA,0.149476270187827,0,4.08045587181216,0,1,NA
ENSRNOG00000059537,LOC120100115,0,NA,NA,NA,NA,NA
ENSRNOG00000064304,Or5b107,0,NA,NA,NA,NA,NA
ENSRNOG00000035530,Mir192,0,NA,NA,NA,NA,NA
ENSRNOG00000021051,Cyth2,1024.73772245447,0.417150542610734,0.145637471715367,2.86430777530944,0.00417921724455672,0.0165733157975963
ENSRNOG00000069804,LOC120100325,0,NA,NA,NA,NA,NA
ENSRNOG00000055569,Snord15b,1.50552750491651,-0.350569242177345,1.52243978545431,-0.230268051010459,0.817883485179328,NA
ENSRNOG00000011160,Sv2b,1.31843848949509,-4.42829175870978,1.85728914869564,-2.38427697799222,0.0171127170522374,NA
ENSRNOG00000063599,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000017748,Nkx6-2,0.250028637891089,0.276378337178096,3.65205256017781,0.0756775354746372,0.93967564882486,NA
ENSRNOG00000067237,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000065307,Vom2r-ps62,0,NA,NA,NA,NA,NA
ENSRNOG00000016227,Glrx3,2045.90405388189,0.601773582100088,0.156494442491699,3.84533516026941,0.000120387773050029,0.000770650976720881
ENSRNOG00000070826,Rnu6-26,0.17617580989844,0,4.08045587180491,0,1,NA
ENSRNOG00000013395,Pglyrp1,64.3394139565065,1.03493501311017,0.330997642904805,3.12671414825699,0.00176771710807917,0.007970284452654
ENSRNOG00000016906,Lipt2,136.895530214766,-0.84311898457838,0.196676134339326,-4.28683931281537,1.81233289506593e-05,0.000144090133276969
ENSRNOG00000066860,LOC120100366,0.412586525032249,-0.768012511694238,3.0829604070005,-0.249115269190712,0.80327161860825,NA
ENSRNOG00000069365,NA,5.94515058834148,-1.21468998138879,0.763301988661159,-1.59136226478247,0.111528071503447,0.232147181847068
ENSRNOG00000062499,LOC120100326,0,NA,NA,NA,NA,NA
ENSRNOG00000067821,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000070448,Or5b114,0,NA,NA,NA,NA,NA
ENSRNOG00000063062,NA,47.1153000800486,0.225483376599971,0.263098840469318,0.857029153749792,0.391428772769457,0.56795994322337
ENSRNOG00000036303,Mir343,0,NA,NA,NA,NA,NA
ENSRNOG00000067171,NA,13.8840425301582,-0.726575390992054,0.579403116521837,-1.25400670150636,0.209839569624925,0.368320118247432
ENSRNOG00000065290,Olr220,0,NA,NA,NA,NA,NA
ENSRNOG00000055366,LOC120100416,0.114767001646254,-1.64715917510398,4.08045587181216,-0.403670380675498,0.686455123148134,NA
ENSRNOG00000052293,Snord15a,0.372848120850294,0.333652376937737,3.20379427989797,0.104142884276691,0.917055959131578,NA
ENSRNOG00000027582,Dpysl4,0,NA,NA,NA,NA,NA
ENSRNOG00000070096,Or14n1,0,NA,NA,NA,NA,NA
ENSRNOG00000064522,LOC120100251,0,NA,NA,NA,NA,NA
ENSRNOG00000035532,Mir101-2,0,NA,NA,NA,NA,NA
ENSRNOG00000009830,Fam204a,51.234326571339,-0.378404751885084,0.283209202103552,-1.33613155601747,0.181506277372111,0.330881119897518
ENSRNOG00000066257,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000012742,Irx2,48.0771618850393,-0.653280024744395,0.369089260310231,-1.7699784171322,0.0767307362060656,0.174324236330687
ENSRNOG00000063184,Or2d3c,0,NA,NA,NA,NA,NA
ENSRNOG00000069837,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000069135,Snord97,4.77163345045644,0.370651122301977,0.847481923600717,0.437355785392074,0.661853344292094,0.790616709875006
ENSRNOG00000064137,NA,19.5592714856763,0.601521093199868,0.452400389561937,1.32962107698962,0.183643150100121,0.333663504681523
ENSRNOG00000071210,LOC120100334,0,NA,NA,NA,NA,NA
ENSRNOG00000067491,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000064435,LOC120100317,0,NA,NA,NA,NA,NA
ENSRNOG00000065990,Mir344a-2,0,NA,NA,NA,NA,NA
ENSRNOG00000065939,LOC120100128,0,NA,NA,NA,NA,NA
ENSRNOG00000013767,Ccdc61,59.5507329035219,0.065964787416541,0.297218912478182,0.221940073956038,0.82436053387122,0.898335987256367
ENSRNOG00000063387,Or13a27d,0,NA,NA,NA,NA,NA
ENSRNOG00000052521,LOC120093055,0,NA,NA,NA,NA,NA
ENSRNOG00000067619,NA,17.9421918863704,1.27941008321576,0.446953427776763,2.86251319198917,0.00420295763782962,0.0166473272564819
ENSRNOG00000062791,LOC120100287,0,NA,NA,NA,NA,NA
ENSRNOG00000032699,Ttyh1,18.2613324427817,-0.480982726952514,0.415418798710557,-1.15782609849498,0.246935010612628,0.413551186432058
ENSRNOG00000035616,Mir3574,0.116645708583494,0.276386169656587,4.08045587181216,0.067734140091029,0.945997271845513,NA
ENSRNOG00000069698,LOC108349467,0,NA,NA,NA,NA,NA
ENSRNOG00000063324,Snora20,0.114767001646254,-1.64715917510398,4.08045587181216,-0.403670380675498,0.686455123148134,NA
ENSRNOG00000058041,LOC120100215,0.201476448734957,0.276378162574684,4.08045587181216,0.0677321777902091,0.945998833947637,NA
ENSRNOG00000063227,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000018408,C1h19orf47,401.008988964135,-0.606764778497405,0.219201862624265,-2.76806397187173,0.00563903856925674,0.0213798330953735
ENSRNOG00000064960,LOC120100254,0,NA,NA,NA,NA,NA
ENSRNOG00000030782,Or10a49,0.0738528279926493,0.276386169656587,4.08045587181216,0.067734140091029,0.945997271845513,NA
ENSRNOG00000016421,Tyr,0,NA,NA,NA,NA,NA
ENSRNOG00000058299,Rnu6-546,0,NA,NA,NA,NA,NA
ENSRNOG00000018334,Ctu1,322.967801214342,-0.366913414064646,0.189809431329042,-1.9330620796634,0.0532285507309616,0.13161822936401
ENSRNOG00000070685,Rnu6-993,0.250028637891089,0.276378337178096,3.65205256017781,0.0756775354746372,0.93967564882486,NA
ENSRNOG00000060004,Mir3572,0,NA,NA,NA,NA,NA
ENSRNOG00000069399,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000067907,NA,156.117818456216,0.900446338573033,0.315282151861,2.85600162666365,0.00429012936190939,0.0169230945041248
ENSRNOG00000014726,Acsm4,3.30522421210691,-1.1010888227588,1.02836172088205,-1.07072132344092,0.284294751991324,0.456222721461209
ENSRNOG00000063196,NA,0.0913450697469773,0,4.08045587181216,0,1,NA
ENSRNOG00000060273,LOC120100386,0,NA,NA,NA,NA,NA
ENSRNOG00000070216,LOC120100252,0,NA,NA,NA,NA,NA
ENSRNOG00000051969,Snora29,0,NA,NA,NA,NA,NA
ENSRNOG00000023407,Mrpl36,1098.51480771938,0.269249940436628,0.117254316728053,2.29629021728128,0.0216592930802091,0.064373178164784
ENSRNOG00000035654,Mir99b,0,NA,NA,NA,NA,NA
ENSRNOG00000061890,Ust5r,0,NA,NA,NA,NA,NA
ENSRNOG00000010529,Thbs2,619.755288630453,2.30606885785945,0.339358051787141,6.79538571639935,1.08023120243556e-11,2.44266349416945e-10
ENSRNOG00000012684,Bloc1s2,289.807343288615,0.745298867755741,0.215309424510723,3.46152459164008,0.000537125045813848,0.00281599872116157
ENSRNOG00000069040,LOC120100403,0,NA,NA,NA,NA,NA
ENSRNOG00000014258,Rab32,977.279878857326,0.0752971294290856,0.148389681231846,0.507428338709348,0.611854305936935,0.753100743930786
ENSRNOG00000010918,Cebpa,125.135985856206,0.209186655180123,0.182122237280814,1.14860578424357,0.250718570868167,0.417456860736617
ENSRNOG00000066483,LOC120100319,0,NA,NA,NA,NA,NA
ENSRNOG00000051780,LOC120100462,27.157525614777,0.487971207145047,0.388215676729887,1.25695904723746,0.20876846524156,0.366714906157734
ENSRNOG00000067027,H3f3bl2,2442.3639868268,-0.159314888053386,0.201116978451933,-0.792150365820371,0.428273005491276,0.601879265141478
ENSRNOG00000035560,Mir150,0,NA,NA,NA,NA,NA
ENSRNOG00000019416,Zfp61,288.339050737898,-0.0443369789738588,0.179249661597727,-0.247347629996425,0.804639200265959,0.885288311176283
ENSRNOG00000017366,Olr193,0,NA,NA,NA,NA,NA
ENSRNOG00000053012,LOC120100427,0,NA,NA,NA,NA,NA
ENSRNOG00000059864,LOC120100432,0,NA,NA,NA,NA,NA
ENSRNOG00000053838,LOC120100288,0,NA,NA,NA,NA,NA
ENSRNOG00000068567,NA,0.0738528279926493,0.276386169656587,4.08045587181216,0.067734140091029,0.945997271845513,NA
ENSRNOG00000063945,Mir6317,0,NA,NA,NA,NA,NA
ENSRNOG00000066101,Misfa,3.64907581218937,1.35726546230027,1.05712585672878,1.28392040896649,0.199169805426575,0.354653371413011
ENSRNOG00000057261,Metazoa_SRP,0,NA,NA,NA,NA,NA
ENSRNOG00000070161,NA,0.206112071393232,-1.64716718218589,4.08045587181216,-0.403672342976317,0.686453679965213,NA
ENSRNOG00000065242,NA,0.201476448734957,0.276378162574684,4.08045587181216,0.0677321777902091,0.945998833947637,NA
ENSRNOG00000063217,Raet1ll1,0.888895016334367,2.79266770373619,2.03329714875069,1.37346757479696,0.169607034799702,NA
ENSRNOG00000036631,Ptgdr2,0.35235161979688,0,3.78081953451804,0,1,NA
ENSRNOG00000066494,LOC120100331,0.150113867400696,-1.64715917510398,4.08045587181216,-0.403670380675498,0.686455123148134,NA
ENSRNOG00000016659,Habp2,0.843598307340383,-3.77958084173043,2.03239061686385,-1.85967245192395,0.0629318818397087,NA
ENSRNOG00000059820,LOC120100360,1.3445605091835,1.30847134181182,1.55796152162245,0.839861141403021,0.400986247357942,NA
ENSRNOG00000049846,Mir344g,0,NA,NA,NA,NA,NA
ENSRNOG00000014946,AABR07005588.1,477.451222484248,-0.396532329681135,0.138573449515724,-2.86153178019965,0.00421599233372217,0.0166886491883707
ENSRNOG00000070965,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000065570,LOC120100463,0,NA,NA,NA,NA,NA
ENSRNOG00000069390,Smokyl-ps1,0,NA,NA,NA,NA,NA
