rat_gene_id,rat_gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000066169,NA,0.421928484203916,-2.22523841278393,2.74115657098781,-0.811788146775591,0.416913204668974,NA
ENSRNOG00000070168,Or51f23c-ps1,0,NA,NA,NA,NA,NA
ENSRNOG00000070901,Irgq,754.63581983436,0.0465842509042966,0.136722152619794,0.340722041100692,0.733312844099907,0.859371659077094
ENSRNOG00000018029,Doc2g,5.9886733008004,0.824346997525009,0.87250298068397,0.944807084646048,0.344757374278271,0.555337557844047
ENSRNOG00000031391,Ceacam16,0,NA,NA,NA,NA,NA
ENSRNOG00000055342,LOC120100214,0,NA,NA,NA,NA,NA
ENSRNOG00000068698,NA,108.918552606321,-1.10500871881604,0.28271413297002,-3.90857261788615,9.28430412396342e-05,0.000861104019016738
ENSRNOG00000067904,LOC120100281,0,NA,NA,NA,NA,NA
ENSRNOG00000063979,LOC120100116,0,NA,NA,NA,NA,NA
ENSRNOG00000064851,NA,4.68612791512293,0.885669177136582,0.951215516643621,0.931092020304378,0.351805965985767,0.56216119869674
ENSRNOG00000063562,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000050129,AABR07000137.1,0,NA,NA,NA,NA,NA
ENSRNOG00000056886,Mir291b,0,NA,NA,NA,NA,NA
ENSRNOG00000032625,Zfp108,121.782257537809,0.08236816409055,0.201281658619983,0.409218428818991,0.682379371310686,0.824320541936994
ENSRNOG00000029315,LOC690251,68.2747009952335,0.158540435414932,0.251941519101623,0.629274745902375,0.529169201674341,0.715410195569671
ENSRNOG00000016356,Got1,1779.15088302188,-0.190501591703418,0.134560384743952,-1.41573310797167,0.156853661006338,0.332857687321331
ENSRNOG00000028288,Clrn3,0.240242402321281,0,4.08045587179663,0,1,NA
ENSRNOG00000015810,Trip13,65.8082608940038,-0.0826421985711482,0.29873632509917,-0.276639268906163,0.782057108740647,0.890157840132949
ENSRNOG00000017538,Lrrc27,79.744945545476,0.920553867049119,0.279102712096164,3.29826199156368,0.000972853164260784,0.00643394207969501
ENSRNOG00000027204,Map6,1717.99572493982,-0.932550881471979,0.138663200178835,-6.72529467277016,1.75237440974243e-11,5.99150645225749e-10
ENSRNOG00000058651,LOC120100452,1.81036600413879,-1.8429972167526,1.54560233424344,-1.19241358266629,0.233099117042819,NA
ENSRNOG00000070886,NA,724.157432001336,0.154896838664027,0.179215883418783,0.864303072412795,0.387421422824177,0.596925328911132
ENSRNOG00000056005,LOC120100212,0,NA,NA,NA,NA,NA
ENSRNOG00000035453,Mir3596c,0.630917618308665,1.03821787184242,2.13445460479374,0.486408972817083,0.626677230021938,NA
ENSRNOG00000063396,LOC120100238,0,NA,NA,NA,NA,NA
ENSRNOG00000068709,NA,0.507343863805944,0.866775825022698,2.95791746007423,0.293035839141011,0.769494757815328,NA
ENSRNOG00000069410,Or2ag2,0,NA,NA,NA,NA,NA
ENSRNOG00000014903,Zfyve27,218.378145492635,-0.70376761994352,0.168983373653458,-4.16471517124974,3.11741501900119e-05,0.000333358145138872
ENSRNOG00000055477,LOC120100189,0,NA,NA,NA,NA,NA
ENSRNOG00000066157,NA,0.149476270187827,0.507234564740412,4.08045587181216,0.124308307864421,0.901071169599814,NA
ENSRNOG00000059537,LOC120100115,0,NA,NA,NA,NA,NA
ENSRNOG00000064304,Or5b107,0,NA,NA,NA,NA,NA
ENSRNOG00000035530,Mir192,0,NA,NA,NA,NA,NA
ENSRNOG00000021051,Cyth2,1024.73772245447,0.175696535337387,0.146299106863069,1.20094058743525,0.229774248649642,0.429700169209135
ENSRNOG00000069804,LOC120100325,0,NA,NA,NA,NA,NA
ENSRNOG00000055569,Snord14b,1.50552750491651,-0.362155928234691,1.54737627897991,-0.234045159638506,0.814949919777409,NA
ENSRNOG00000011160,Sv2b,1.31843848949509,-2.30479191473183,1.74976114765041,-1.31720373253614,0.187770343120629,NA
ENSRNOG00000063599,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000017748,Nkx6-2,0.250028637891089,1.25834733120164,3.6124248836461,0.34833868432762,0.727585844961951,NA
ENSRNOG00000067237,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000065307,Vom2r-ps62,0,NA,NA,NA,NA,NA
ENSRNOG00000016227,Glrx3,2045.90405388189,0.403886023720715,0.156766736165458,2.57635027429822,0.00998494389875128,0.0431352896440652
ENSRNOG00000070826,Rnu6-26,0.17617580989844,1.25422248537466,4.04541915465766,0.310035236751825,0.756534160618918,NA
ENSRNOG00000013395,Pglyrp1,64.3394139565065,0.888456288606202,0.334219362280953,2.6583028659463,0.00785352810774796,0.0357919779970472
ENSRNOG00000016906,Lipt2,136.895530214766,-0.373849265909025,0.19453482849743,-1.92176007143093,0.0546359546277826,0.158115800751942
ENSRNOG00000066860,LOC120100366,0.412586525032249,-2.21783750038379,3.12213651966354,-0.710358911730996,0.477481595993531,NA
ENSRNOG00000069365,NA,5.94515058834148,-0.148951172756829,0.714646169938089,-0.208426461964714,0.834895996337135,0.921900763483993
ENSRNOG00000062499,LOC120100326,0,NA,NA,NA,NA,NA
ENSRNOG00000067821,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000070448,Or5b114,0,NA,NA,NA,NA,NA
ENSRNOG00000063062,NA,47.1153000800486,-0.434759541300003,0.278507615024397,-1.56103286892862,0.11851599577152,0.275541737261224
ENSRNOG00000036303,Mir343,0,NA,NA,NA,NA,NA
ENSRNOG00000067171,NA,13.8840425301582,0.15520350843628,0.560234010416168,0.277033356687837,0.781754493202163,0.890157840132949
ENSRNOG00000065290,Or2d3,0,NA,NA,NA,NA,NA
ENSRNOG00000055366,LOC120100416,0.114767001646254,-1.41631078002016,4.08045587181216,-0.347096212902105,0.728519038521737,NA
ENSRNOG00000052293,Snord15a,0.372848120850294,-1.41633142050261,3.26884465709476,-0.433281960165523,0.664809942175399,NA
ENSRNOG00000027582,Dpysl4,0,NA,NA,NA,NA,NA
ENSRNOG00000070096,Or14n1,0,NA,NA,NA,NA,NA
ENSRNOG00000064522,LOC120100251,0,NA,NA,NA,NA,NA
ENSRNOG00000035532,Mir101-2,0,NA,NA,NA,NA,NA
ENSRNOG00000009830,Fam204a,51.234326571339,-0.0565057972980424,0.281897535767664,-0.200448000171998,0.841130222441504,0.925154236196507
ENSRNOG00000066257,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000012742,Irx2,48.0771618850393,-0.418874181620137,0.369184113429629,-1.13459427527609,0.256545352865426,0.46070013781673
ENSRNOG00000063184,Or2d3c,0,NA,NA,NA,NA,NA
ENSRNOG00000069837,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000069135,Snord97,4.77163345045644,0.897207500868205,0.833755549814804,1.07610378253853,0.281880844192179,0.48860289219864
ENSRNOG00000064137,NA,19.5592714856763,0.142376719432838,0.467447446167578,0.30458337209911,0.760683485782527,0.877082398884187
ENSRNOG00000071210,LOC120100334,0,NA,NA,NA,NA,NA
ENSRNOG00000067491,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000064435,LOC120100317,0,NA,NA,NA,NA,NA
ENSRNOG00000065990,Mir344a-2,0,NA,NA,NA,NA,NA
ENSRNOG00000065939,LOC120100128,0,NA,NA,NA,NA,NA
ENSRNOG00000013767,Ccdc61,59.5507329035219,0.143263814013201,0.299094846985671,0.478991247950401,0.6319448549283,0.791154646168125
ENSRNOG00000063387,Or13a27d,0,NA,NA,NA,NA,NA
ENSRNOG00000052521,LOC120093055,0,NA,NA,NA,NA,NA
ENSRNOG00000067619,NA,17.9421918863704,0.291600077775203,0.475643564194373,0.613064276963578,0.539833839650531,0.723209555505129
ENSRNOG00000062791,LOC120100287,0,NA,NA,NA,NA,NA
ENSRNOG00000032699,Ttyh1,18.2613324427817,-0.0215213680116787,0.408722202310952,-0.0526552457634915,0.958006598231404,0.982133145254197
ENSRNOG00000035616,Mir210,0.116645708583494,0,4.08045587181216,0,1,NA
